epoch,learning_rate,current_lr,weight_decay,batch_size,hidden_dim,dropout,train_loss,train_transform_acc,train_transform_macro_f1,val_loss,val_transform_acc,val_transform_macro_f1
1,3e-05,3e-05,0.001,32,256,0.3,0.3129170306669488,0.8676601661378303,0.8677229440991171,0.25083108478901434,0.8905882352941177,0.89183991857945
2,3e-05,2.9817171857837798e-05,0.001,32,256,0.3,0.16877073331641498,0.926806659773967,0.9268384712122956,0.17123911566155797,0.9254901960784314,0.9257687687504275
3,3e-05,2.9273189266983036e-05,0.001,32,256,0.3,0.1390809340825429,0.9395343862526293,0.939566263937647,0.17465650186746143,0.9292156862745098,0.929663412383921
4,3e-05,2.8381446884197268e-05,0.001,32,256,0.3,0.10922162026265729,0.949980391457806,0.9499799185970557,0.2292900408822678,0.909607843137255,0.9092340671293165
5,3e-05,2.7163902366467976e-05,0.001,32,256,0.3,0.09783035213498747,0.9561125173802988,0.9561156255041233,0.22578557967080498,0.9080392156862745,0.9082515320970188
6,3e-05,2.5650535700620236e-05,0.001,32,256,0.3,0.0831369251339391,0.9640272380477022,0.964026142320412,0.23879894766518298,0.9113725490196078,0.9117824253244556
7,3e-05,2.3878610996543234e-05,0.001,32,256,0.3,0.07437563774967611,0.9689115476487575,0.9689158362742759,0.23313867500353166,0.9137254901960784,0.9142725469804093
8,3e-05,2.1891758921132275e-05,0.001,32,256,0.3,0.05980339521557664,0.9752219330457413,0.9752229807314411,0.21188041992394216,0.9127450980392157,0.9125606971834749
9,3e-05,1.9738902366467975e-05,0.001,32,256,0.3,0.05236837757408554,0.9782879960069878,0.9782847968191826,0.22539074117468452,0.907843137254902,0.9077973103016553
10,3e-05,1.7473051805847434e-05,0.001,32,256,0.3,0.04317154163949543,0.9821027487610966,0.9821005348602757,0.2659211158199126,0.918235294117647,0.9185170264503348
